time,tau,omega_2
209.5795888,0,4.285423505
209.8295888,0,3.949383444
210.0795888,0,4.186790253
210.3295888,0,4.414488726
210.5795888,0,4.611877787
210.8295888,0,4.604152324
211.0795888,0,4.404547033
211.3295888,0,4.232314826
211.5795888,0,4.066467995
211.8295888,0,4.511107072
212.0795888,0,4.428455137
212.3295888,0,4.240413227
212.5795888,0,4.303620275
212.8295888,0,4.366920129
213.0795888,0,4.199389233
213.3295888,0,4.21634485
213.5795888,0,4.295541655
213.8295888,0,4.238851066
214.0795888,0,4.629597374
214.3295888,0,4.398770061
214.5795888,0,4.467418403
214.8295888,0,4.783011349
215.0795888,0,4.277776501
215.3295888,0,4.292721751
215.5795888,0,4.088248477
215.8295888,0,4.445266611
216.0795888,0,4.253984136
216.3295888,0,4.200698603
216.5795888,0,4.481663275
216.8295888,0,4.074959222
217.0795888,0,3.834796608
217.3295888,0,4.685954497
217.5795888,0,4.617325773
217.8295888,0,4.484977854
218.0795888,0,3.982186276
218.3295888,0,4.269002845
218.5795888,0,4.80727925
218.8295888,0,4.513464694
219.0795888,0,4.205546997
219.3295888,0,4.237534581
219.5795888,0,4.276850832
219.8295888,0,4.288039982
220.0795888,0,4.152127236
220.3295888,0,4.748441683
220.5795888,0,4.543609625
220.8295888,0,4.424873602
221.0795888,0,4.654224498
221.3295888,0,4.158729676
221.5795888,0,4.357158474
221.8295888,0,4.367743129
222.0795888,0,4.112961425
222.3295888,0,4.481636961
222.5795888,0,4.307070355
222.8295888,0,4.600959266
223.0795888,0,4.485416152
223.3295888,0,4.230986996
223.5795888,0,4.631882201
223.8295888,0,4.577299267
224.0795888,0,4.525615612
224.3295888,0,4.520124752
224.5795888,0,4.267607016
224.8295888,0,4.050170771
225.0795888,0,4.477039926
225.3295888,0,4.519501077
225.5795888,0,4.545088838
225.8295888,0,4.133061444
226.0795888,0,4.225552582
226.3295888,0,4.503045507
226.5795888,0,4.488445582
226.8295888,0,4.512190386
227.0795888,0,4.166450257
227.3295888,0,4.507061897
227.5795888,0,4.419132599
227.8295888,0,4.484573297
228.0795888,0,3.846575223
228.3295888,0,4.157504784
228.5795888,0,4.646758335
228.8295888,0,4.561387954
229.0795888,0,4.001060729
229.3295888,0,4.189664497
229.5795888,0,3.864951803
229.8295888,0,4.375166496
230.0795888,0,4.312089444
230.3295888,0,4.196402027
230.5795888,0,4.157712478
230.8295888,0,4.16241977
231.0795888,0,3.98060748
231.3295888,0,4.049362532
231.5795888,0,4.429913583
231.8295888,0,4.37668929
232.0795888,0,4.555096082
232.3295888,0,4.436199552
232.5795888,0,4.304566289
232.8295888,0,4.266371447
233.0795888,0,4.057601514
233.3295888,0,4.203022886
233.5795888,0,4.294503814
233.8295888,0,4.256862408
234.0795888,0,3.964001559
234.3295888,0,4.158549139
234.5795888,0,4.107889556
234.8295888,0,4.393658946
235.0795888,0,4.310499929
235.3295888,0,4.215586902
235.5795888,0,4.11553907
235.8295888,0,4.121245186
236.0795888,0,3.870888553
236.3295888,0,4.596533537
236.5795888,0,4.127708786
236.8295888,0,3.825546314
237.0795888,0,4.244938525
237.3295888,0,4.43443763
237.5795888,0,4.144077558
237.8295888,0,4.264580428
238.0795888,0,4.338223876
238.3295888,0,4.335083942
238.5795888,0,4.544216876
238.8295888,0,4.017090701
239.0795888,0,4.565662606
239.3295888,0,4.607402731
239.5795888,0,4.424679195
239.8295888,0,4.131306887
240.0795888,0,4.071467903
240.3295888,0,4.21704341
240.5795888,0,4.227185882
240.8295888,0,4.370701727
241.0795888,0,4.498995984
241.3295888,0,4.503634925
241.5795888,0,4.513663329
241.8295888,0,4.300797299
242.0795888,0,4.280043629
242.3295888,0,4.340110091
242.5795888,0,4.398432875
242.8295888,0,4.107038771
243.0795888,0,4.442077883
243.3295888,0,4.296059152
243.5795888,0,3.950694832
243.8295888,0,4.183139135
244.0795888,0,4.320085813
244.3295888,0,4.3922215
244.5795888,0,4.427428086
244.8295888,0,4.374289738
245.0795888,0,4.455573809
245.3295888,0,4.347072066
245.5795888,0,4.2186782
245.8295888,0,4.512582966
246.0795888,0,4.310034493
246.3295888,0,4.2833701
246.5795888,0,4.066588402
246.8295888,0,4.458973489
247.0795888,0,4.144413799
247.3295888,0,4.469500123
247.5795888,0,4.039436596
247.8295888,0,4.341903107
248.0795888,0,4.215001067
248.3295888,0,4.276638246
248.5795888,0,4.014278428
248.8295888,0,4.181435115
249.0795888,0,4.48455374
249.3295888,0,4.753349068
249.5795888,0,4.430534136
249.8295888,0,3.92053301
250.0795888,0,4.196920382
250.3295888,0,4.373361104
250.5795888,0,4.151467546
250.8295888,0,4.700955564
251.0795888,0,4.2760681
251.3295888,0,4.544622236
251.5795888,0,4.344173107
251.8295888,0,4.301091366
252.0795888,0,4.652687684
252.3295888,0,4.044678758
252.5795888,0,4.185329381
252.8295888,0,3.970132423
253.0795888,0,4.339081223
253.3295888,0,4.369214632
253.5795888,0,4.389270542
253.8295888,0,4.494632143
254.0795888,0,4.023780027
254.3295888,0,4.566922249
254.5795888,0,3.911020522
254.8295888,0,4.388273967
255.0795888,0,3.892614188
255.3295888,0,4.440614195
255.5795888,0,4.327632218
255.8295888,0,4.518537585
256.0795888,0,4.412932373
256.3295888,0,4.534483016
256.5795888,0,4.157302701
256.8295888,0,3.95791561
257.0795888,0,3.874145652
257.3295888,0,4.680483169
257.5795888,0,4.500890214
257.8295888,0,4.426318771
258.0795888,0,4.37845397
258.3295888,0,4.076774065
258.5795888,0,4.299618797
258.8295888,0,4.21840024
259.0795888,0,4.362273312
259.3295888,0,4.157649503
259.5795888,0,4.764606076
259.8295888,0,4.020657198
260.0795888,0,4.426089542
260.3295888,0,4.400348515
260.5795888,0,4.212159086
260.8295888,0,4.880186175
261.0795888,0,4.180136036
261.3295888,0,4.241275248
261.5795888,0,4.703614816
261.8295888,0,4.604935829
262.0795888,0,3.967652483
262.3295888,0,4.488390107
262.5795888,0,4.349783346
262.8295888,0,4.372891585
263.0795888,0,4.151987477
263.3295888,0,3.999766796
263.5795888,0,3.989335927
263.8295888,0,4.027426381
264.0795888,0,4.140718203
264.3295888,0,4.025689839
264.5795888,0,4.46278999
264.8295888,0,4.310138698
265.0795888,0,4.305296616
265.3295888,0,4.016220638
265.5795888,0,4.405425115
265.8295888,0,3.756873747
266.0795888,0,4.130015757
266.3295888,0,4.377350155
266.5795888,0,4.658295618
266.8295888,0,4.174493599
267.0795888,0,4.430725109
267.3295888,0,4.705918541
267.5795888,0,4.131122171
267.8295888,0,4.115428159
268.0795888,0,4.718187682
268.3295888,0,4.278555652
268.5795888,0,4.482712428
268.8295888,0,4.315742429
269.0795888,0,4.403681756
269.3295888,0,4.384912718
269.5795888,0,4.340388785
269.8295888,0,3.69436758
270.0795888,0,4.145853013
270.3295888,0,4.161075586
270.5795888,0,4.075061674
270.8295888,0,4.095159551
271.0795888,0,4.14871809
271.3295888,0,4.009253831
271.5795888,0,4.258752188
271.8295888,0,4.091014174
272.0795888,0,4.096734203
272.3295888,0,3.922090043
272.5795888,0,4.42394542
272.8295888,0,3.878396366
273.0795888,0,4.406871515
273.3295888,0,4.246544284
273.5795888,0,4.373706393
273.8295888,0,4.116083082
274.0795888,0,4.353418094
274.3295888,0,4.433595536
274.5795888,0,4.290244462
274.8295888,0,4.27755271
275.0795888,0,4.250452866
275.3295888,0,4.217493781
275.5795888,0,4.276360294
275.8295888,0,4.171540718
276.0795888,0,3.896629574
276.3295888,0,4.455938515
276.5795888,0,4.11403173
276.8295888,0,4.222042708
277.0795888,0,4.208551447
277.3295888,0,4.368294605
277.5795888,0,4.541190933
277.8295888,0,3.803258797
278.0795888,0,4.29765707
278.3295888,0,4.158382455
278.5795888,0,3.965035836
278.8295888,0,4.166980274
279.0795888,0,4.206238476
279.3295888,0,4.684279532
279.5795888,0,3.944701675
279.8295888,0,4.623706238
280.0795888,0,4.242464626
280.3295888,0,4.402902498
280.5795888,0,4.150154463
280.8295888,0,4.025063888
281.0795888,0,4.367058166
281.3295888,0,4.392009788
281.5795888,0,4.418510879
281.8295888,0,4.186606439
282.0795888,0,4.43214411
282.3295888,0,4.193630835
282.5795888,0,4.496651772
282.8295888,0,4.261639445
283.0795888,0,4.182496149
283.3295888,0,3.893607009
283.5795888,0,4.690631729
283.8295888,0,4.375029324
284.0795888,0,4.147783123
284.3295888,0,4.271021886
284.5795888,0,4.166473723
284.8295888,0,4.104186273
285.0795888,0,4.064858391
285.3295888,0,3.917151088
285.5795888,0,4.50302597
285.8295888,0,4.401306412
286.0795888,0,4.188503666
286.3295888,0,4.150424539
286.5795888,0,4.4277345
286.8295888,0,3.85672522
287.0795888,0,3.654753676
287.3295888,0,4.05369101
